OA,Pop_econ,unempl,student,inactive,sum_no_income,mean_no_income
E00026179,199,8,4,58,70,0.35175879396984927
E00026180,179,1,3,34,38,0.2122905027932961
E00026181,237,1,14,66,81,0.34177215189873417
E00026182,210,6,4,83,93,0.44285714285714284
E00026183,319,5,9,75,89,0.27899686520376177
E00026184,186,6,4,46,56,0.3010752688172043
E00026185,269,5,9,65,79,0.2936802973977695
E00026186,264,8,13,65,86,0.32575757575757575
E00026187,311,16,9,44,69,0.22186495176848875
E00026188,254,3,9,51,63,0.24803149606299213
E00026189,274,4,14,67,85,0.3102189781021898
E00026190,246,8,4,49,61,0.24796747967479674
E00026191,180,3,6,38,47,0.2611111111111111
E00026192,254,8,8,45,61,0.24015748031496062
E00026193,220,5,7,32,44,0.2
E00026194,300,3,12,37,52,0.17333333333333334
E00026195,216,5,2,32,39,0.18055555555555555
E00026196,190,2,4,47,53,0.2789473684210526
E00026197,190,6,6,48,60,0.3157894736842105
E00026198,289,10,5,47,62,0.21453287197231835
E00026199,277,7,14,79,100,0.36101083032490977
E00026200,211,7,7,50,64,0.3033175355450237
E00026201,216,2,5,27,34,0.1574074074074074
E00026202,261,9,12,61,82,0.31417624521072796
E00026203,213,3,2,56,61,0.2863849765258216
E00026204,309,7,68,99,174,0.5631067961165048
E00026205,238,13,9,63,85,0.35714285714285715
E00026206,218,3,6,48,57,0.26146788990825687
E00026207,233,3,3,65,71,0.30472103004291845
E00026208,408,13,14,82,109,0.26715686274509803
E00026209,265,11,13,71,95,0.3584905660377358
E00026210,189,4,6,38,48,0.25396825396825395
E00026211,237,5,10,60,75,0.31645569620253167
E00026212,277,7,13,63,83,0.2996389891696751
E00026213,215,5,11,62,78,0.3627906976744186
E00026214,184,4,7,78,89,0.483695652173913
E00026215,205,5,8,38,51,0.24878048780487805
E00026216,233,4,7,48,59,0.2532188841201717
E00026217,208,4,4,51,59,0.28365384615384615
E00026218,232,15,13,98,126,0.5431034482758621
E00026219,245,23,31,93,147,0.6
E00026220,239,12,5,60,77,0.32217573221757323
E00026221,213,14,8,94,116,0.5446009389671361
E00026222,389,30,30,96,156,0.40102827763496146
E00026223,314,28,15,115,158,0.5031847133757962
E00026224,354,30,17,142,189,0.5338983050847458
E00026225,402,30,25,214,269,0.6691542288557214
E00026226,377,12,69,185,266,0.7055702917771883
E00026227,176,13,5,88,106,0.6022727272727273
E00026228,325,6,45,142,193,0.5938461538461538
E00026230,287,8,15,97,120,0.4181184668989547
E00026231,200,14,8,73,95,0.475
E00026232,183,9,10,44,63,0.3442622950819672
E00026233,299,16,17,115,148,0.49498327759197325
E00026234,285,23,20,100,143,0.5017543859649123
E00026235,435,21,50,206,277,0.6367816091954023
E00026236,151,11,7,67,85,0.5629139072847682
E00026237,211,13,8,51,72,0.3412322274881517
E00026238,333,11,11,127,149,0.44744744744744747
E00026239,428,32,45,146,223,0.5210280373831776
E00026241,301,28,29,131,188,0.6245847176079734
E00026242,281,18,15,120,153,0.5444839857651246
E00026243,306,16,15,125,156,0.5098039215686274
E00026244,155,8,7,71,86,0.5548387096774193
E00026245,413,20,36,122,178,0.43099273607748184
E00026246,297,22,20,105,147,0.494949494949495
E00026247,233,19,8,78,105,0.45064377682403434
E00026248,414,15,38,127,180,0.43478260869565216
E00026250,218,24,12,91,127,0.5825688073394495
E00026251,570,5,186,343,534,0.9368421052631579
E00026252,434,14,21,93,128,0.29493087557603687
E00026253,538,3,202,289,494,0.9182156133828996
E00026254,191,18,10,77,105,0.5497382198952879
E00026255,268,6,43,96,145,0.5410447761194029
E00026256,292,33,14,75,122,0.4178082191780822
E00026257,229,27,6,84,117,0.5109170305676856
E00026258,176,11,6,98,115,0.6534090909090909
E00026259,178,15,6,72,93,0.5224719101123596
E00026260,205,13,11,49,73,0.35609756097560974
E00026261,216,15,5,79,99,0.4583333333333333
E00026262,155,16,7,60,83,0.535483870967742
E00026263,242,16,11,84,111,0.45867768595041325
E00026264,204,20,4,88,112,0.5490196078431373
E00026265,182,9,7,77,93,0.510989010989011
E00026266,225,19,10,66,95,0.4222222222222222
E00026267,215,7,7,70,84,0.39069767441860465
E00026268,233,23,15,65,103,0.44206008583690987
E00026269,252,22,12,81,115,0.45634920634920634
E00026270,252,21,12,103,136,0.5396825396825397
E00026272,225,13,7,75,95,0.4222222222222222
E00026273,202,4,3,64,71,0.35148514851485146
E00026274,289,26,9,94,129,0.4463667820069204
E00026275,283,10,8,83,101,0.3568904593639576
E00026276,246,22,12,89,123,0.5
E00026277,238,22,15,72,109,0.4579831932773109
E00026278,210,21,12,99,132,0.6285714285714286
E00026279,201,19,3,106,128,0.6368159203980099
E00026280,120,23,6,40,69,0.575
E00026281,189,17,2,72,91,0.48148148148148145
E00026282,260,26,10,98,134,0.5153846153846153
E00026283,252,16,3,122,141,0.5595238095238095
E00026284,225,13,14,90,117,0.52
E00026285,194,24,6,65,95,0.4896907216494845
E00026286,196,23,4,79,106,0.5408163265306123
E00026287,221,16,4,95,115,0.5203619909502263
E00026288,306,19,14,95,128,0.41830065359477125
E00026289,193,8,6,77,91,0.47150259067357514
E00026290,197,10,6,90,106,0.5380710659898477
E00026291,249,23,10,84,117,0.46987951807228917
E00026292,208,7,7,64,78,0.375
E00026293,220,12,8,59,79,0.35909090909090907
E00026294,261,24,11,107,142,0.5440613026819924
E00026295,213,17,8,53,78,0.36619718309859156
E00026296,216,19,8,78,105,0.4861111111111111
E00026297,183,4,4,45,53,0.2896174863387978
E00026298,291,15,6,58,79,0.27147766323024053
E00026299,250,28,10,54,92,0.368
E00026300,199,13,9,67,89,0.4472361809045226
E00026301,283,7,8,91,106,0.3745583038869258
E00026302,249,24,13,107,144,0.5783132530120482
E00026303,286,27,17,127,171,0.5979020979020979
E00026304,242,21,7,101,129,0.5330578512396694
E00026305,243,19,11,102,132,0.5432098765432098
E00026306,296,28,12,115,155,0.5236486486486487
E00026307,309,31,19,94,144,0.46601941747572817
E00026308,282,31,21,96,148,0.524822695035461
E00026309,178,20,10,67,97,0.5449438202247191
E00026310,332,21,15,112,148,0.4457831325301205
E00026312,310,28,29,127,184,0.5935483870967742
E00026313,216,11,5,57,73,0.33796296296296297
E00026314,290,13,20,95,128,0.4413793103448276
E00026315,420,34,28,142,204,0.4857142857142857
E00026316,306,23,17,118,158,0.5163398692810458
E00026317,244,27,8,105,140,0.5737704918032787
E00026318,160,11,6,68,85,0.53125
E00026319,234,11,10,64,85,0.36324786324786323
E00026320,229,2,3,51,56,0.2445414847161572
E00026321,223,20,14,94,128,0.5739910313901345
E00026322,179,10,2,84,96,0.5363128491620112
E00026323,275,42,17,93,152,0.5527272727272727
E00026324,205,17,4,95,116,0.5658536585365853
E00026325,263,37,12,114,163,0.6197718631178707
E00026326,238,22,9,72,103,0.4327731092436975
E00026327,178,10,4,62,76,0.42696629213483145
E00026328,275,28,18,103,149,0.5418181818181819
E00026329,260,24,12,108,144,0.5538461538461539
E00026330,209,8,14,93,115,0.5502392344497608
E00026331,238,22,9,81,112,0.47058823529411764
E00026332,205,18,5,104,127,0.6195121951219512
E00026333,235,33,14,81,128,0.5446808510638298
E00026334,316,30,10,107,147,0.4651898734177215
E00026335,249,19,11,62,92,0.36947791164658633
E00026336,178,18,5,95,118,0.6629213483146067
E00026337,148,22,5,58,85,0.5743243243243243
E00026338,319,28,17,135,180,0.5642633228840125
E00026340,392,15,20,183,218,0.5561224489795918
E00026341,342,36,28,132,196,0.5730994152046783
E00026342,239,8,9,85,102,0.42677824267782427
E00026343,243,27,11,80,118,0.48559670781893005
E00026344,306,37,14,140,191,0.6241830065359477
E00026345,280,32,8,159,199,0.7107142857142857
E00026346,242,18,20,77,115,0.47520661157024796
E00026348,298,25,28,109,162,0.5436241610738255
E00026349,297,33,12,167,212,0.7138047138047138
E00026350,229,9,6,70,85,0.37117903930131
E00026351,183,8,8,80,96,0.5245901639344263
E00026352,217,16,4,78,98,0.45161290322580644
E00026353,312,11,10,115,136,0.4358974358974359
E00026354,225,12,5,100,117,0.52
E00026355,305,30,10,85,125,0.4098360655737705
E00026356,169,12,1,95,108,0.6390532544378699
E00026357,196,18,10,90,118,0.6020408163265306
E00026358,190,17,3,78,98,0.5157894736842106
E00026359,330,24,14,115,153,0.4636363636363636
E00026360,157,14,3,87,104,0.6624203821656051
E00026361,241,24,3,113,140,0.5809128630705395
E00026362,299,37,12,128,177,0.5919732441471572
E00026363,213,16,5,99,120,0.5633802816901409
E00026364,170,28,1,100,129,0.7588235294117647
E00026365,200,27,9,94,130,0.65
E00026366,232,17,2,127,146,0.6293103448275862
E00026367,173,10,7,96,113,0.653179190751445
E00026369,224,26,7,99,132,0.5892857142857143
E00026371,276,29,7,128,164,0.5942028985507246
E00026372,269,31,9,135,175,0.6505576208178439
E00026373,204,9,0,65,74,0.3627450980392157
E00026374,222,11,6,71,88,0.3963963963963964
E00026375,331,13,12,100,125,0.3776435045317221
E00026376,236,12,7,88,107,0.4533898305084746
E00026378,352,38,25,119,182,0.5170454545454546
E00026379,185,17,11,40,68,0.3675675675675676
E00026381,170,19,14,57,90,0.5294117647058824
E00026383,328,17,20,83,120,0.36585365853658536
E00026384,192,16,8,87,111,0.578125
E00026386,410,22,35,147,204,0.4975609756097561
E00026387,184,20,10,68,98,0.532608695652174
E00026390,1430,2,393,997,1392,0.9734265734265735
E00026392,191,15,8,80,103,0.5392670157068062
E00026393,159,11,16,37,64,0.4025157232704403
E00026395,231,24,15,118,157,0.6796536796536796
E00026396,95,7,0,13,20,0.21052631578947367
E00026397,269,20,17,112,149,0.5539033457249071
E00026398,176,14,9,82,105,0.5965909090909091
E00026400,190,10,10,36,56,0.29473684210526313
E00026401,268,10,16,129,155,0.5783582089552238
E00026402,237,21,13,113,147,0.620253164556962
E00026403,221,19,15,91,125,0.5656108597285068
E00026405,161,13,11,63,87,0.5403726708074534
E00026406,185,19,8,65,92,0.4972972972972973
E00026407,154,16,6,76,98,0.6363636363636364
E00026408,138,6,13,55,74,0.5362318840579711
E00026409,223,22,14,70,106,0.47533632286995514
E00026410,222,17,13,62,92,0.4144144144144144
E00026411,305,19,11,69,99,0.32459016393442625
E00026412,276,9,23,128,160,0.5797101449275363
E00026413,338,27,9,104,140,0.41420118343195267
E00026414,207,9,8,106,123,0.5942028985507246
E00026415,365,21,14,149,184,0.5041095890410959
E00026416,302,12,14,91,117,0.38741721854304634
E00026417,396,12,87,170,269,0.6792929292929293
E00026418,234,7,13,75,95,0.405982905982906
E00026419,261,21,17,77,115,0.44061302681992337
E00026420,267,9,11,97,117,0.43820224719101125
E00026421,213,10,28,91,129,0.6056338028169014
E00026422,208,7,7,90,104,0.5
E00026423,257,12,10,67,89,0.3463035019455253
E00026424,224,13,6,58,77,0.34375
E00026425,146,4,2,38,44,0.3013698630136986
E00026426,335,12,13,97,122,0.3641791044776119
E00026427,243,5,11,97,113,0.46502057613168724
E00026428,235,8,17,63,88,0.37446808510638296
E00026429,212,8,9,53,70,0.330188679245283
E00026430,262,21,17,86,124,0.4732824427480916
E00026431,258,6,8,72,86,0.3333333333333333
E00026432,250,5,15,93,113,0.452
E00026433,268,27,16,106,149,0.5559701492537313
E00026434,301,14,12,114,140,0.46511627906976744
E00026435,266,10,23,84,117,0.4398496240601504
E00026436,267,19,5,81,105,0.39325842696629215
E00026437,361,24,13,100,137,0.37950138504155123
E00026438,219,9,8,72,89,0.4063926940639269
E00026439,229,20,9,71,100,0.4366812227074236
E00026440,262,18,9,79,106,0.40458015267175573
E00026441,276,23,11,99,133,0.48188405797101447
E00026442,253,21,7,66,94,0.3715415019762846
E00026443,260,18,8,82,108,0.4153846153846154
E00026444,278,18,19,83,120,0.4316546762589928
E00026445,320,25,18,117,160,0.5
E00026446,356,29,29,123,181,0.5084269662921348
E00026447,275,18,14,74,106,0.38545454545454544
E00026448,315,31,22,102,155,0.49206349206349204
E00026449,292,14,21,83,118,0.4041095890410959
E00026450,240,13,17,94,124,0.5166666666666667
E00026451,229,16,10,80,106,0.462882096069869
E00026452,271,29,10,94,133,0.4907749077490775
E00026453,267,23,12,91,126,0.47191011235955055
E00026454,176,15,9,82,106,0.6022727272727273
E00026455,226,26,8,99,133,0.588495575221239
E00026457,205,21,14,63,98,0.47804878048780486
E00026458,251,10,10,73,93,0.3705179282868526
E00026459,242,11,6,85,102,0.4214876033057851
E00026460,155,8,3,60,71,0.45806451612903226
E00026461,351,20,23,91,134,0.3817663817663818
E00026462,171,10,4,71,85,0.49707602339181284
E00026463,322,23,10,74,107,0.33229813664596275
E00026464,224,21,5,83,109,0.48660714285714285
E00026465,210,13,9,84,106,0.5047619047619047
E00026466,291,34,12,120,166,0.570446735395189
E00026467,186,19,3,86,108,0.5806451612903226
E00026468,223,9,2,79,90,0.40358744394618834
E00026469,228,12,2,78,92,0.40350877192982454
E00026470,260,14,7,73,94,0.36153846153846153
E00026471,189,9,6,90,105,0.5555555555555556
E00026472,293,29,19,99,147,0.5017064846416383
E00026473,141,6,13,50,69,0.48936170212765956
E00026474,230,27,6,117,150,0.6521739130434783
E00026475,177,22,10,70,102,0.576271186440678
E00026476,240,18,6,109,133,0.5541666666666667
E00026477,275,24,10,87,121,0.44
E00026478,183,24,9,77,110,0.6010928961748634
E00026479,169,28,3,94,125,0.7396449704142012
E00026480,214,14,7,49,70,0.32710280373831774
E00026481,229,5,13,66,84,0.36681222707423583
E00026482,254,10,1,51,62,0.2440944881889764
E00026483,223,7,3,60,70,0.31390134529147984
E00026484,236,27,5,64,96,0.4067796610169492
E00026485,240,10,11,65,86,0.35833333333333334
E00026487,206,12,4,55,71,0.3446601941747573
E00026488,200,17,4,51,72,0.36
E00026489,238,18,11,93,122,0.5126050420168067
E00026490,200,21,14,83,118,0.59
E00026491,291,25,20,117,162,0.5567010309278351
E00026492,223,20,18,99,137,0.6143497757847534
E00026493,487,15,98,219,332,0.6817248459958932
E00026494,385,31,32,200,263,0.6831168831168831
E00026495,342,19,31,172,222,0.6491228070175439
E00026496,359,33,29,155,217,0.6044568245125348
E00026497,186,23,14,79,116,0.6236559139784946
E00026498,253,31,20,111,162,0.6403162055335968
E00026501,238,30,14,113,157,0.6596638655462185
E00026502,268,20,32,106,158,0.5895522388059702
E00026503,289,21,16,132,169,0.5847750865051903
E00026504,387,23,51,190,264,0.6821705426356589
E00026505,296,29,42,125,196,0.6621621621621622
E00026506,323,29,30,137,196,0.6068111455108359
E00026507,339,28,22,132,182,0.5368731563421829
E00026508,278,22,23,108,153,0.5503597122302158
E00026509,306,29,19,120,168,0.5490196078431373
E00026510,397,15,103,205,323,0.8136020151133502
E00026511,275,17,29,105,151,0.5490909090909091
E00026512,302,26,30,122,178,0.5894039735099338
E00026513,343,27,27,161,215,0.6268221574344023
E00026514,396,32,50,178,260,0.6565656565656566
E00026515,308,20,19,140,179,0.5811688311688312
E00026516,345,19,19,165,203,0.5884057971014492
E00026517,334,19,31,143,193,0.5778443113772455
E00026518,351,29,33,139,201,0.5726495726495726
E00026519,429,33,45,206,284,0.662004662004662
E00026520,380,19,35,174,228,0.6
E00026521,339,26,18,137,181,0.5339233038348082
E00026522,355,19,23,145,187,0.5267605633802817
E00026523,334,16,30,167,213,0.6377245508982036
E00026524,217,21,19,85,125,0.576036866359447
E00026525,252,20,14,115,149,0.5912698412698413
E00026526,224,20,14,62,96,0.42857142857142855
E00026527,215,17,4,112,133,0.6186046511627907
E00026528,219,20,8,93,121,0.5525114155251142
E00026529,126,16,11,48,75,0.5952380952380952
E00026530,369,9,96,201,306,0.8292682926829268
E00026531,311,32,28,148,208,0.6688102893890675
E00026532,236,21,20,99,140,0.5932203389830508
E00026533,517,12,154,247,413,0.7988394584139265
E00026534,330,20,54,151,225,0.6818181818181818
E00026535,305,26,17,157,200,0.6557377049180327
E00026536,289,20,33,140,193,0.6678200692041523
E00026537,289,18,29,76,123,0.42560553633217996
E00026539,259,27,14,114,155,0.5984555984555985
E00026540,215,31,8,109,148,0.6883720930232559
E00026541,287,33,17,113,163,0.5679442508710801
E00026542,242,29,16,106,151,0.6239669421487604
E00026543,253,33,16,100,149,0.5889328063241107
E00026544,333,22,46,150,218,0.6546546546546547
E00026545,300,24,36,123,183,0.61
E00026546,283,26,22,95,143,0.5053003533568905
E00026547,288,30,14,126,170,0.5902777777777778
E00026548,286,31,24,118,173,0.6048951048951049
E00026549,363,24,23,117,164,0.45179063360881544
E00026550,366,27,52,114,193,0.5273224043715847
E00026551,415,27,43,103,173,0.41686746987951806
E00026552,203,33,8,63,104,0.5123152709359606
E00026553,333,29,36,125,190,0.5705705705705706
E00026554,274,29,16,80,125,0.4562043795620438
E00026555,316,21,58,102,181,0.5727848101265823
E00026556,286,14,31,95,140,0.48951048951048953
E00026557,239,12,13,114,139,0.5815899581589958
E00026558,281,22,17,102,141,0.501779359430605
E00026559,319,27,24,147,198,0.6206896551724138
E00026561,242,18,9,120,147,0.6074380165289256
E00026563,230,22,16,118,156,0.6782608695652174
E00026564,243,22,30,105,157,0.6460905349794238
E00026565,204,18,14,104,136,0.6666666666666666
E00026566,425,23,77,208,308,0.7247058823529412
E00026567,338,27,66,149,242,0.7159763313609467
E00026568,431,26,75,199,300,0.6960556844547564
E00026569,297,40,17,129,186,0.6262626262626263
E00026570,267,33,15,117,165,0.6179775280898876
E00026571,209,15,7,92,114,0.5454545454545454
E00026572,247,31,16,108,155,0.6275303643724697
E00026573,224,26,16,92,134,0.5982142857142857
E00026574,203,26,11,101,138,0.6798029556650246
E00026575,235,19,6,63,88,0.37446808510638296
E00026576,245,4,6,80,90,0.3673469387755102
E00026577,255,11,11,79,101,0.396078431372549
E00026578,247,22,12,100,134,0.5425101214574899
E00026579,249,20,11,95,126,0.5060240963855421
E00026580,231,20,11,85,116,0.5021645021645021
E00026581,214,11,0,86,97,0.4532710280373832
E00026582,187,6,5,81,92,0.4919786096256685
E00026583,98,7,2,49,58,0.5918367346938775
E00026584,244,17,5,90,112,0.45901639344262296
E00026585,247,15,11,82,108,0.43724696356275305
E00026586,305,36,7,100,143,0.46885245901639344
E00026587,255,16,9,88,113,0.44313725490196076
E00026588,235,25,12,83,120,0.5106382978723404
E00026589,210,11,7,92,110,0.5238095238095238
E00026590,235,9,3,79,91,0.3872340425531915
E00026591,279,7,11,76,94,0.33691756272401435
E00026592,259,13,13,83,109,0.42084942084942084
E00026593,279,16,5,73,94,0.33691756272401435
E00026594,231,13,7,82,102,0.44155844155844154
E00026595,220,19,6,70,95,0.4318181818181818
E00026596,235,7,10,69,86,0.3659574468085106
E00026597,208,7,5,57,69,0.3317307692307692
E00026598,188,22,3,81,106,0.5638297872340425
E00026599,243,20,8,92,120,0.49382716049382713
E00026600,230,8,9,61,78,0.3391304347826087
E00026601,212,10,4,75,89,0.419811320754717
E00026602,228,11,7,68,86,0.37719298245614036
E00026603,232,10,1,90,101,0.4353448275862069
E00026604,223,14,3,46,63,0.2825112107623318
E00026605,207,20,7,71,98,0.47342995169082125
E00026606,175,20,6,77,103,0.5885714285714285
E00026607,338,14,9,111,134,0.39644970414201186
E00026608,214,5,7,60,72,0.3364485981308411
E00026609,208,6,6,83,95,0.4567307692307692
E00026610,193,1,4,94,99,0.5129533678756477
E00026611,228,7,4,58,69,0.3026315789473684
E00026612,357,25,7,83,115,0.32212885154061627
E00026613,216,7,5,63,75,0.3472222222222222
E00026614,213,19,12,75,106,0.49765258215962443
E00026615,224,12,6,70,88,0.39285714285714285
E00026616,215,21,4,107,132,0.6139534883720931
E00026617,214,13,9,97,119,0.5560747663551402
E00026618,218,8,0,51,59,0.2706422018348624
E00026619,195,23,3,98,124,0.6358974358974359
E00026620,214,19,7,88,114,0.5327102803738317
E00026621,213,12,5,69,86,0.40375586854460094
E00026622,170,27,9,71,107,0.6294117647058823
E00026623,231,13,8,74,95,0.41125541125541126
E00026624,253,17,5,118,140,0.5533596837944664
E00026625,219,5,7,72,84,0.3835616438356164
E00026626,189,14,8,79,101,0.5343915343915344
E00026627,214,20,13,87,120,0.5607476635514018
E00026628,237,13,8,86,107,0.45147679324894513
E00026629,215,21,7,104,132,0.6139534883720931
E00026630,208,17,4,90,111,0.5336538461538461
E00026631,173,12,6,81,99,0.5722543352601156
E00026632,166,13,1,114,128,0.7710843373493976
E00026633,355,23,13,142,178,0.5014084507042254
E00026634,242,19,11,128,158,0.6528925619834711
E00026635,222,19,2,84,105,0.47297297297297297
E00026636,242,11,8,72,91,0.3760330578512397
E00026637,376,31,20,150,201,0.5345744680851063
E00026638,176,8,1,100,109,0.6193181818181818
E00026639,268,28,4,91,123,0.458955223880597
E00026640,209,8,7,90,105,0.5023923444976076
E00026641,173,14,6,71,91,0.5260115606936416
E00026642,241,17,5,74,96,0.3983402489626556
E00026643,214,17,9,69,95,0.4439252336448598
E00026644,223,25,6,83,114,0.5112107623318386
E00026645,208,16,7,93,116,0.5576923076923077
E00026646,236,22,11,88,121,0.5127118644067796
E00026647,190,12,2,97,111,0.5842105263157895
E00026648,180,20,4,73,97,0.5388888888888889
E00026649,187,14,3,72,89,0.47593582887700536
E00026650,192,18,5,87,110,0.5729166666666666
E00026651,183,18,3,72,93,0.5081967213114754
E00026652,215,30,7,106,143,0.6651162790697674
E00026653,255,21,6,87,114,0.4470588235294118
E00026654,173,9,3,82,94,0.5433526011560693
E00026655,214,12,7,81,100,0.4672897196261682
E00026656,416,13,9,47,69,0.1658653846153846
E00026657,112,12,4,33,49,0.4375
E00026658,149,17,3,52,72,0.48322147651006714
E00026659,172,19,5,59,83,0.48255813953488375
E00026660,295,12,11,100,123,0.41694915254237286
E00026661,227,10,1,69,80,0.3524229074889868
E00026662,219,22,4,75,101,0.4611872146118721
E00026663,239,2,6,57,65,0.2719665271966527
E00026664,212,12,8,85,105,0.49528301886792453
E00026665,219,6,1,35,42,0.1917808219178082
E00026666,179,11,2,68,81,0.45251396648044695
E00026667,228,8,7,72,87,0.3815789473684211
E00026668,258,20,5,96,121,0.4689922480620155
E00026669,383,36,14,107,157,0.40992167101827676
E00026670,244,21,8,81,110,0.45081967213114754
E00026671,221,14,5,65,84,0.38009049773755654
E00026672,232,15,12,49,76,0.3275862068965517
E00026673,220,12,5,34,51,0.2318181818181818
E00026674,264,16,9,74,99,0.375
E00026675,228,7,8,72,87,0.3815789473684211
E00026676,182,7,5,57,69,0.3791208791208791
E00026677,234,12,5,85,102,0.4358974358974359
E00026678,228,6,6,33,45,0.19736842105263158
E00026679,278,8,7,92,107,0.38489208633093525
E00026680,203,12,9,55,76,0.37438423645320196
E00026681,149,5,3,64,72,0.48322147651006714
E00026682,234,9,4,29,42,0.1794871794871795
E00026683,227,15,10,51,76,0.33480176211453744
E00026684,284,11,4,64,79,0.27816901408450706
E00026685,193,8,3,57,68,0.35233160621761656
E00026686,157,13,0,70,83,0.5286624203821656
E00026687,189,7,4,88,99,0.5238095238095238
E00026688,217,5,9,53,67,0.3087557603686636
E00026689,327,9,4,63,76,0.2324159021406728
E00026690,201,18,3,62,83,0.4129353233830846
E00026691,200,2,10,45,57,0.285
E00026692,244,7,3,74,84,0.3442622950819672
E00026693,185,18,6,60,84,0.4540540540540541
E00026694,159,12,0,70,82,0.5157232704402516
E00026695,204,9,8,67,84,0.4117647058823529
E00026696,208,14,3,73,90,0.4326923076923077
E00026697,226,17,5,91,113,0.5
E00026698,220,15,4,70,89,0.40454545454545454
E00026699,221,20,9,79,108,0.48868778280542985
E00026700,255,11,17,57,85,0.3333333333333333
E00026701,365,17,16,69,102,0.27945205479452057
E00026702,376,8,103,201,312,0.8297872340425532
E00026703,382,12,65,185,262,0.6858638743455497
E00026704,262,31,14,101,146,0.5572519083969466
E00026705,272,28,22,92,142,0.5220588235294118
E00026706,213,15,4,84,103,0.4835680751173709
E00026707,242,19,7,77,103,0.4256198347107438
E00026708,278,15,21,92,128,0.460431654676259
E00026709,300,13,44,68,125,0.4166666666666667
E00026710,288,16,34,94,144,0.5
E00026711,192,17,24,59,100,0.5208333333333334
E00026712,226,6,13,34,53,0.2345132743362832
E00026713,308,6,18,62,86,0.2792207792207792
E00026714,229,10,15,37,62,0.27074235807860264
E00026715,280,8,18,71,97,0.3464285714285714
